	MuonType	wheel	sector	station	hits	tdcs	lateralities	Q	phi	phib	bX	Chi2	x	tanPsi	t0	id
2887	[Bayes]	 0	 4	1 	[11, 12, 11, 12, 11, 12, 11, 11]	[503.0, 864.0, 525.0, 637.0, 839.0, 521.0, 575.0, 808.0]	[0, 1, 0, 1, 1, 1, 1, 1]	Q8	-4566.0	-117.0	6.0	0.0	-54152.0	92.0	662.0	73700-246
2888	[Bayes]	 0	 4	1 	[11, 12, 11, 12, 11, 12, 11, 11]	[655.0, 864.0, 525.0, 637.0, 839.0, 521.0, 575.0, 808.0]	[0, 0, 0, 1, 1, 1, 0, 1]	Q8	-4566.0	-117.0	6.0	0.0	-54152.0	92.0	662.0	73700-247
2889	[Bayes]	 0	 4	1 	[11, 12, 11, 12, 11, 12, 11, 11]	[503.0, 864.0, 721.0, 637.0, 839.0, 521.0, 575.0, 808.0]	[0, 0, 0, 1, 1, 1, 0, 1]	Q8	-4566.0	-117.0	6.0	0.0	-54152.0	92.0	662.0	73700-248
2890	[Bayes]	 0	 4	1 	[11, 12, 11, 12, 11, 12, 11, 11]	[655.0, 864.0, 721.0, 637.0, 839.0, 521.0, 575.0, 808.0]	[0, 0, 0, 1, 1, 1, 0, 1]	Q8	-4566.0	-117.0	6.0	0.0	-54152.0	92.0	662.0	73700-249
2891	[Bayes]	 0	 4	1 	[11, 12, 11, 12, 11, 12, 11, 11]	[655.0, 692.0, 525.0, 830.0, 839.0, 521.0, 575.0, 808.0]	[0, 1, 0, 0, 1, 1, 0, 1]	Q8	-4632.0	-73.0	6.0	439490.0	-54370.0	71.0	659.0	73700-250
2892	[Bayes]	 0	 4	1 	[11, 12, 11, 12, 11, 11, 12, 11]	[503.0, 864.0, 525.0, 637.0, 839.0, 785.0, 805.0, 808.0]	[0, 1, 0, 1, 1, 1, 1, 1]	Q8	-4566.0	-117.0	6.0	0.0	-54152.0	92.0	662.0	73700-251
2893	[Bayes]	 0	 4	1 	[11, 12, 11, 12, 11, 11, 12, 11]	[655.0, 864.0, 525.0, 637.0, 839.0, 785.0, 805.0, 808.0]	[0, 0, 0, 1, 1, 0, 1, 1]	Q8	-4566.0	-117.0	6.0	0.0	-54152.0	92.0	662.0	73700-252
2894	[Bayes]	 0	 4	1 	[11, 12, 11, 12, 11, 11, 12, 11]	[503.0, 864.0, 721.0, 637.0, 839.0, 785.0, 805.0, 808.0]	[0, 0, 0, 1, 1, 1, 1, 1]	Q8	-4566.0	-117.0	6.0	0.0	-54152.0	92.0	662.0	73700-253
2895	[Bayes]	 0	 4	1 	[11, 12, 11, 12, 11, 11, 12, 11]	[655.0, 864.0, 721.0, 637.0, 839.0, 785.0, 805.0, 808.0]	[0, 0, 0, 1, 0, 0, 0, 0]	Q8	-4566.0	-117.0	6.0	0.0	-54152.0	92.0	662.0	73700-254
2896	[Bayes]	 0	 4	1 	[11, 12, 11, 12, 11, 12, 12, 11]	[655.0, 864.0, 721.0, 830.0, 602.0, 521.0, 805.0, 808.0]	[0, 0, 0, 0, 0, 1, 0, 0]	Q8	-4423.0	159.0	6.0	9667249.0	-53685.0	-44.0	651.0	73700-255
2897	[Bayes]	 0	 4	1 	[11, 12, 11, 12, 11, 12, 12, 11]	[503.0, 864.0, 525.0, 637.0, 839.0, 521.0, 805.0, 808.0]	[0, 1, 0, 1, 1, 1, 1, 1]	Q8	-4566.0	-117.0	6.0	0.0	-54152.0	92.0	662.0	73700-256
2898	[Bayes]	 0	 4	1 	[11, 12, 11, 12, 11, 12, 12, 11]	[655.0, 864.0, 525.0, 637.0, 839.0, 521.0, 805.0, 808.0]	[0, 0, 0, 1, 1, 1, 1, 1]	Q8	-4566.0	-117.0	6.0	0.0	-54152.0	92.0	662.0	73700-257
2899	[Bayes]	 0	 4	1 	[11, 12, 11, 12, 11, 12, 12, 11]	[503.0, 864.0, 721.0, 637.0, 839.0, 521.0, 805.0, 808.0]	[0, 1, 0, 1, 1, 1, 1, 1]	Q8	-4566.0	-117.0	6.0	0.0	-54152.0	92.0	662.0	73700-258
2900	[Bayes]	 0	 4	1 	[11, 12, 11, 12, 11, 12, 12, 11]	[655.0, 864.0, 721.0, 637.0, 839.0, 521.0, 805.0, 808.0]	[0, 1, 0, 1, 1, 1, 1, 1]	Q8	-4566.0	-117.0	6.0	0.0	-54152.0	92.0	662.0	73700-259
2901	[Bayes]	 0	 4	1 	[11, 12, 11, 12, 11, 11, 12, 12]	[655.0, 864.0, 721.0, 637.0, 602.0, 785.0, 805.0, 631.0]	[0, 0, 0, 1, 0, 0, 0, 1]	Q8	-4562.0	259.0	6.0	9406271.0	-54141.0	-92.0	649.0	73700-260
2902	[Bayes]	 0	 4	1 	[11, 12, 11, 12, 11, 11, 12, 12]	[655.0, 864.0, 525.0, 637.0, 839.0, 785.0, 805.0, 631.0]	[0, 0, 0, 1, 1, 0, 1, 1]	Q8	-4570.0	161.0	6.0	9348939.0	-54166.0	-44.0	648.0	73700-261
2903	[Bayes]	 0	 4	1 	[11, 12, 11, 12, 11, 11, 12, 12]	[655.0, 692.0, 721.0, 637.0, 839.0, 785.0, 805.0, 631.0]	[0, 1, 0, 1, 0, 1, 0, 1]	Q8	-4706.0	240.0	6.0	5819891.0	-54617.0	-82.0	649.0	73700-262
2904	[Bayes]	 0	 4	1 	[11, 12, 11, 12, 11, 11, 11, 11]	[503.0, 692.0, 525.0, 830.0, 839.0, 785.0, 575.0, 808.0]	[0, 1, 0, 1, 1, 1, 1, 1]	Q8	-4795.0	-11.0	7.0	244254.0	-54910.0	42.0	685.0	73700-263
2905	[Bayes]	 0	 4	1 	[11, 12, 11, 12, 11, 12, 11, 11]	[655.0, 864.0, 525.0, 830.0, 839.0, 521.0, 575.0, 808.0]	[0, 1, 0, 1, 0, 1, 0, 1]	Q8	-4562.0	-119.0	7.0	1669.0	-54140.0	93.0	663.0	73700-264
