
Inspecting Event Number 12006 
        Wh   Se   St  | w1 w2 w3 w4 w5 w6 w7 w8 |  tdc1  tdc2  tdc3  tdc4  tdc5  tdc6  tdc7  tdc8 | lat1 lat2 lat3 lat4 lat5 lat6 lat7 lat8 | Q     phi  phib  bX      Chi2         x tanPsi     t0 
[Std  ]: Wh 0 Se 1 St1 | 48 49 48 -1 -1 -1 -1 -1 |   735   635   787    -1    -1    -1    -1    -1 |   1    0    1   -1   -1   -1   -1   -1 | Q1 -20071    92   0        39    103863   -109    505
[Std  ]: Wh 0 Se 6 St1 | 12 13 12 13 12 12 12 12 |   771   653   696   724   523   822   600   746 |   1    0    1    0    0    1    0    1 | Q8  26562   -93   0       732    -49484    158    499
[Std  ]: Wh 0 Se 1 St2 | 42 43 42 43 42 42 42 43 |   768   595   827   542   535   884   525   845 |   1    0    1    0    0    1    1    0 | Q8 -18928    73   0      1377     53103   -109    504
[Std  ]: Wh 0 Se 6 St2 |  1  2  1  2 -1 -1 -1 -1 |   725   692   644   775    -1    -1    -1    -1 |   1    0    1    0   -1   -1   -1   -1 | Q3  25764   -55   0        39   -121131    171    495
[Std  ]: Wh 0 Se 1 St3 | 60 61 61 61 61 62 61 62 |   860   514   863   562   615   747   671   692 |   1    0    0    1    1    0    1    0 | Q8 -18277    36   0      1582    109053   -123    504
[Std  ]: Wh 0 Se 6 St3 | 12 13 12 13 11 12 11 12 |   704   718   625   798   737   676   657   753 |   1    0    1    0    1    0    1    0 | Q8  24952   -45   0      1543    -97353    170    496
[Std  ]: Wh 0 Se 6 St4 | 37 37 37 37 38 38 38 38 |   760   571   841   507   776   557   871   524 |   0    1    0    0    0    1    0    0 | Q8  24695   -15   0      2139    -42797    183    495

Inspecting Event Number 12005 
        Wh   Se   St  | w1 w2 w3 w4 w5 w6 w7 w8 |  tdc1  tdc2  tdc3  tdc4  tdc5  tdc6  tdc7  tdc8 | lat1 lat2 lat3 lat4 lat5 lat6 lat7 lat8 | Q     phi  phib  bX      Chi2         x tanPsi     t0 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
[Bayes]: Wh-2 Se 1 St1 | 45 45 44 44 42 43 42 44 |   776   580   595   825   571   820   844   671 |   1    0    1    1    1    0    1    0 | Q8  35297 -1163  -3         0     79876    308    430
[Bayes]: Wh-2 Se 1 St1 | -1 -1 -1 -1 42 43 42 44 |    -1    -1    -1    -1   571   820   844   671 |   0    0    0    0    1    0    1    0 | Q3  33913  1303   0   3111587     78097  -1248    488
[Bayes]: Wh-2 Se 2 St1 |  8  9  8  9  8  7  8  8 |   878   533   857   557   764   539   788   596 |   1    1    1    1    0    1    0    0 | Q8  -8622    19   0       239    -67537     56    505
[Bayes]: Wh-2 Se 2 St1 |  8  9  8  9  8  8  8  8 |   878   533   857   557   764   617   788   596 |   1    1    1    1    0    1    0    1 | Q8  -8624    19   0       308    -67543     57    505
[Bayes]: Wh-2 Se 2 St1 | -1 -1 -1 -1  8  8  8  8 |    -1    -1    -1    -1   764   617   788   596 |   0    0    0    0    0    1    0    1 | Q3  -8589    38   0        66    -68209     47    503
[Bayes]: Wh 2 Se 8 St1 | 44 45 44 45 45 46 45 46 |   656   707   719   643   819   547   881   517 |   1    0    1    0    1    1    1    1 | Q8 -14840   -25   0       217     88167   -126    503
[Bayes]: Wh 2 Se 8 St1 | 44 45 44 45 -1 -1 -1 -1 |   656   707   719   643    -1    -1    -1    -1 |   1    0    1    0   -1    0    0    0 | Q3 -14800   -38   0         7     86684   -132    503
[Std  ]: Wh-2 Se 1 St1 | 45 45 44 44 -1 -1 -1 -1 |   776   580   595   825    -1    -1    -1    -1 |   0    0    1    1   -1   -1   -1   -1 | Q3  37294 -1869  -1      8984     83538    726    481
[Std  ]: Wh-2 Se 2 St1 |  8  9  8  9  8  8  8  8 |   878   533   857   557   764   617   788   596 |   1    0    1    0    0    1    0    1 | Q8  -8624    18   0      1660    -67544     57    506
[Std  ]: Wh 2 Se 8 St1 | 44 45 44 45 45 46 45 46 |   656   707   719   643   819   547   881   517 |   1    0    1    0    1    0    1    1 | Q8 -14840   -25   0      1748     88166   -126    504
[Std  ]: Wh-2 Se 1 St1 | -1 -1 -1 -1 42 43 42 -1 |    -1    -1    -1    -1   571   820   844    -1 |  -1   -1   -1   -1    0    0    1   -1 | Q1  33669   543   3        78     77213   -575    570
